Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.231","Planning and Design of Airport Systems","Permission of instructor",,"16.781[J],IDS.670[J]",,,"2017-2018",Y,,,,,,,
"1.232","The Airline Industry","",,"15.054[J],16.71[J]",,,,Y,,,,"P. Belobaba",,,
"1.233","Air Transportation Operations Research","16.71,6.431B,15.093,permission of instructor",,"16.763[J]",,,"2018-2019",,,Y,,,,,
"1.234","Airline Management","16.71J",,"16.75[J]",,,"2017-2018",,,Y,,,,,
"1.251","Comparative Land Use and Transportation Planning","Permission of Instructor",,"11.526[J]",,,"2017-2018",,,Y,,,,,
"1.252","Urban Transportation Planning","Permission of instructor",,"11.540[J]",,,,Y,,,,,,,
"1.253","Transportation Policy, the Environment, and Livable Communities","Permission of instructor",,"11.543[J]",,"1.153",,,,Y,,,,,
"1.254","Transport Modeling Course","Permission of instructor",,,,,,,,Y,,,,,
"1.258","Public Transportation Systems","1.201,permission of instructor",,"11.541[J]",,,,,,Y,,,,,
"1.260","Logistics Systems","Permission of instructor",,"15.770[J],IDS.730[J],SCM.260[J]",,,,Y,,,,"C. Caplice",,,
"1.261","Case Studies in Logistics and Supply Chain Management","Permission of instructor",,"15.771[J],SCM.261[J]",,,,,,Y,,,,,
"1.265","Global Supply Chain Management","1.260,1.261,15.761,15.778,permission of instructor",,"2.965[J],15.765[J],SCM.265[J]",,,,,,Y,,,,,
"1.27","Studies in Transportation","Permission of instructor",,,,,,Y,,Y,Y,"N. Wilson",,,
"1.271","The Theory of Operations Management","15.081J,6.251J,6.436J;permission of instructor",,"15.764[J],IDS.250[J]",,,,,,Y,,,,,
"1.273","Supply Chain Planning","1.260,15.761",,"15.762[J],IDS.735[J]",,,,,,Y,,,,,
"1.274","Manufacturing System and Supply Chain Design","1.260,15.761,15.778",,"15.763[J],IDS.736[J]",,,,,,Y,,,,,
"1.275","Business and Operations Analytics","Permission of instructor",,"IDS.305[J]",,,"2017-2018",,,Y,,,,,
"1.284","Analyzing and Accounting for Regional Economic Change","14.03;14.04",,"11.481[J]",,,,,,Y,,,,,
"1.285","Regional Socioeconomic Impact Analyses and Modeling","11.481J,permission of instructor",,"11.482[J]",,,,Y,,,,,,,
"1.286","Urban Energy Systems and Policy","11.203,14.01,permission of instructor",,"11.477[J]",,"11.165",,Y,,,,"Y. Hsu",,,
"1.322","Soil Behavior","1.361",,,,,"2018-2019",,,Y,,,,,
"1.331","Advanced Soil Dynamics","Permission of instructor",,,,,,,,Y,,,,,
"1.351","Theoretical Soil Mechanics","1.361",,,,,"2017-2018",,,Y,,,,,
"1.361","Advanced Soil Mechanics","1.036",,,,"1.032",,Y,,,,,,,
"1.364","Advanced Geotechnical Engineering","1.361",,,,,,Y,,,,"A. Whittle",,,
"1.37","Geotechnical Measurements and Exploration","1.035",,,,,,Y,,,,,,,
"1.38","Engineering Geology","Permission of instructor",,,,,,Y,,,,"H. Einstein",,,
"1.381","Rock Mechanics","1.38;1.361",,,,,"2017-2018",,,Y,,,,,
"1.383","Underground Construction","1.361,1.38,permission of instructor",,,,,"2018-2019",,,Y,,,,,
"1.39","Independent Study in Geotechnical Engineering","Permission of instructor",,,,,,Y,,Y,Y,"A. Whittle",,,
"1.462","Entrepreneurship in Construction and Real Estate Development","Permission of instructor",,"11.345[J]",,,,Y,,,,"J. Kennedy",,,
"1.472","Innovative Project Delivery in the Public and Private Sectors","Permission of instructor",,"11.344[J]",,,,,,Y,,,,,
"1.541","Mechanics and Design of Concrete Structures","1.035",,,,"1.054",,Y,,,,,,,
"1.545","Atomistic Modeling and Simulation of Materials and Structures","Permission of instructor",,,,,,Y,,,,,,,
"1.562","Structural Design Project I","",,,,,,Y,,,,"G. Herning",,,
"1.563","Structural Design Project II","",,,,,,,,Y,,,,,
"1.57","Mechanics of Materials: An Energy Approach","1.050,permission of instructor",,,,,,Y,,,,,,,
"1.570","Micromechanics and Durability of Solids","1.050;1.57;permission of instructor",,,,,"2017-2018",,,Y,,,,,
"1.571","Modeling and Analysis of Structures","Permission of instructor",,,,,,,,Y,,,,,
"1.572","Structural Systems","Permission of instructor",,,,,,,,Y,,,,,
"1.573","Structural Mechanics","2.002",,"2.080[J]",,,,Y,,,,"H. Schmidt",,,
"1.575","Computational Structural Design and Optimization","Permission of instructor",,"4.450[J]",,,"2017-2018",Y,,,,,,,
"1.581","Structural Dynamics","18.03,permission of instructor",,"2.060[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"1.582","Design of Steel Structures","Permission of instructor",,,,,"2017-2018",Y,,,,,,,
"1.589","Studies in Structural Design and Analysis","Permission of instructor",,,,,,Y,,Y,Y,"O. Buyukozturk",,,
"1.61","Transport Processes in the Environment","1.060B",,,,"1.061",,Y,,,,,,,
"1.63","Advanced Fluid Dynamics","18.085;2.25,permission of instructor.",,"2.26[J]",,,,,,Y,,,,,
"1.631","Fluid Dynamics and Disease","",,"2.250[J],HST.537[J]",,,,,,Y,,,,,
"1.64","Physical Limnology","1.061",,,,"1.064","2018-2019",,,Y,,,,,
"1.66","Problems in Water Resources and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,Y,"D. Entekhabi",,,
"1.67","Sediment Transport and Coastal Processes","1.061",,,,,"2018-2019",,,Y,,,,,
"1.685","Nonlinear Dynamics and Waves","Permission of instructor",,"2.034[J],18.377[J]",,,"2018-2019",,,Y,,,,,
"1.686","Nonlinear Dynamics and Turbulence","1.060A",,"2.033[J],18.358[J]",,"1.068","2017-2018",,,Y,,,,,
"1.69","Introduction to Coastal Engineering","1.061",,,,,,Y,,,,"J. Trowbridge",,,
"1.692","Ocean Wave Interaction with Ships and Offshore Energy Systems","2.20;18.085",,"2.24[J]",,,"2017-2018",,,Y,,,,,
"1.699","Projects in Oceanographic Engineering","Permission of instructor",,"2.689[J]",,,,Y,,Y,Y,"J. Westwater",,,
"1.714","Surface Hydrology","1.070B,permission of instructor",,,,,"2018-2019",Y,,,,"E. Eltahir",,,
"1.72","Groundwater Hydrology","1.061",,,,"1.072",,Y,,,,,,,
"1.721","Advanced Subsurface Hydrology","1.72;18.075;permission of instructor",,,,,"2018-2019",,,Y,,,,,
"1.723","Computational Methods for Flow in Porous Media","Permission of instructor",,,,,,,,Y,,,,,
"1.731","Water Resource Systems","1.070B,permission of instructor",,,,"1.075",,Y,,,,,,,
"1.74","Land, Water, Food, and Climate","",,,,,,,,Y,,,,,
"1.76","Aquatic Chemistry","Chemistry GIR,5.60",,,,,,Y,,,,"B. Kocar",,,
"1.77","Water Quality Control","1.060B",,,,,,,,Y,,,,,
"1.78","Introduction to Soil Science","",,,,"1.078","2017-2018",Y,,,,,,,
"1.801","Environmental Law, Policy, and Economics: Pollution Prevention and Control","",,"11.021[J],17.393[J],IDS.060[J]",,"1.811[J],11.630[J],15.663[J],IDS.540[J]",,Y,,,,"N. Ashford",,"HASS-S",
"1.802","Regulation of Chemicals, Radiation, and Biotechnology","1.801,permission of instructor",,"11.022[J],IDS.061[J]",,,,,,Y,,,,,
"1.811","Environmental Law, Policy, and Economics: Pollution Prevention and Control","",,"11.630[J],15.663[J],IDS.540[J]",,"1.801[J],11.021[J],17.393[J],IDS.060[J]",,Y,,,,"N. Ashford",,,
"1.812","Regulation of Chemicals, Radiation, and Biotechnology","1.811,permission of instructor",,"11.631[J],IDS.541[J]",,,,,,Y,,,,,
"1.813","Technology, Globalization, and Sustainable Development","Permission of instructor",,"11.466[J],15.657[J],IDS.437[J]",,,,Y,,,,"N. Ashford",,,
"1.818","Sustainable Energy","Permission of instructor",,"2.65[J],10.391[J],11.371[J],22.811[J]",,"2.650[J],10.291[J],22.081[J]",,Y,,,,"M. Golay",,,
"1.83","Environmental Organic Chemistry","5.60;18.03",,,,"1.831",,Y,,,,"P. Gschwend",,,
"1.831","Environmental Organic Chemistry","5.60;18.03",,,,"1.83",,Y,,,,,,,
"1.84","Atmospheric Chemistry","5.60",,"10.817[J],12.807[J]",,,,Y,,,,"J. Kroll",,,
"1.841","Atmospheric Composition in the Changing Earth System","1.84",,"12.817[J]",,,"2018-2019",,,Y,,,,,
"1.842","Aerosol and Cloud Microphysics and Chemistry","Permission of instructor",,"12.814[J]",,"12.338",,,,Y,,,,,
"1.851","Water, Sanitation, Hygiene and Environmental Sanitation (WASH-ENV) in Low- and Middle-income Countries","",,"11.479[J]",,,,,,Y,,,,,
"1.86","Methods and Problems in Microbiology","",,"7.492[J],20.445[J]",,,,Y,,,,"M. Laub",,,
"1.87","Microbial Genetics and Evolution","7.03,7.05,permission of instructor",,"7.493[J],12.493[J],20.446[J]",,,,Y,,,,"A. Grossman",,,
"1.871","Computational Ecology","",,,,,,Y,,,,"O. Cordero Sanchez",,,
"1.873","Fundamentals of Network and Community Ecology","18.06",,,,"1.087",,,,Y,,,,,
"1.89","Environmental Microbiology","Biology GIR",,,,"1.089",,,,Y,,,,,
"1.899","Career Reengineering Program and Professional Development Workshops","Permission of instructor",,,,,,,,Y,,,,,
"1.95","Teaching College-Level Science and Engineering","",,"5.95[J],7.59[J],8.395[J],18.094[J]",,"2.978",,Y,,,,"J. Rankin",,,
"1.968","Graduate Studies in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,Y,"K. Clapper",,,
"1.982","Research in Civil and Environmental Engineering","",,,,,,Y,,Y,Y,"K. Clapper",,,
"1.984","Teaching Experience in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,,Y,,"J. Kroll",,,
"1.999","Undergraduate Studies in Civil and Environmental Engineering","",,,,,,Y,,Y,Y,"K. Clapper",,,
"1.EPE","UPOP Engineering Practice Experience","2.EPW,permission of instructor",,,,,,Y,,Y,,"J. Crim",,,
"1.EPW","UPOP Engineering Practice Workshop","",,,,,,Y,Y,,,"J. Crim",,,
"1.THG","Graduate Thesis","Permission of instructor",,,,,,Y,Y,Y,Y,"K. Clapper",,,
"1.THU","Undergraduate Thesis","Permission of instructor",,,,,,Y,Y,Y,Y,"K. Clapper",,,
"1.UR","Research in Civil and Environmental Engineering","",,,,,,Y,Y,Y,Y,"K. Clapper",,,
"1.URG","Research in Civil and Environmental Engineering",,,,,,,,,,,"K. Clapper",,,
"1.S82","Special Problems in Environmental Microbiology and Chemistry","Permission of instructor",,,,,,Y,,Y,,"K. Clapper",,,
"1.S977","Special Graduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,,,Y,,,,,
"1.S978","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,Y,Y,,,,,
"1.S979","Special Graduate Subject in Civil and Environmental Engineering",,,,,,,,,,,,,,
"1.S980","Special Graduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S981","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,,,,,,,
"1.S982","Special Graduate Subject in Civil and Environmental Engineering","Permission of Instructor",,,,,,Y,,,,,,,
"1.S991","Special Undergraduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,,,,,
"1.S992","Special Undergraduate Subject in Civil and Environmental Engineering",,,,,,,,,,,,,,
"1.S993","Special Undergraduate Subject in Civil and Environmental Engineering","Permission of instructor",,,,,,Y,Y,Y,Y,,,,
"2.00A","Fundamentals of Engineering Design: Explore Space, Sea and Earth","Physics I GIR;Calculus I GIR",,,,,"2018-2019",,,Y,,,,,
"2.00B","Toy Product Design","",,,,,,,,Y,,,,,
"2.00C","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas","",,"1.016[J],EC.746[J]",,,,,,Y,,,,,
"2.00","Introduction to Design","",,,,,,Y,,,,"M. Yang",,,
"2.001","Mechanics and Materials I","Physics I GIR","18.03,2.087",,,,,,,,,"D. Parks, S. Socrate",,,
"2.002","Mechanics and Materials II","2.001;Chemistry GIR",,,,,,,,Y,,,,,
"2.003","Dynamics and Control I","Physics II","18.03,2.087","1.053[J]",,,,,,,,"T. Sapsis, A. Rodriguez Garcia",,,
"2.004","Dynamics and Control II","2.003;Physics II GIR",,,,,,Y,,Y,,"F. Hover, H. Chin",,,
"2.005","Thermal-Fluids Engineering I","Physics II GIR;Calculus II GIR;2.086,6.0002,18.06;permission of instructor",,,,,,Y,,Y,,"P. Lermusiaux",,,
"2.006","Thermal-Fluids Engineering II","2.005;2.051,2.06",,,,,,Y,,Y,,"R. Karnik",,,
"2.007","Design and Manufacturing I","2.001;2.670","2.086",,,,,,,,,,,,
"2.008","Design and Manufacturing II","2.007","2.017;2.005,2.051",,,,,Y,,Y,,"A. Hart, D. Wendell",,,"LAB2"
"2.009","The Product Engineering Process","2.001;2.003;2.005,2.051;2.670,2.678,2.00B",,,,,,Y,,,,"D. Wallace",,,
"2.013","Engineering Systems Design","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.733",,Y,,,,"D. Hart",,,
"2.014","Engineering Systems Development","2.001;2.003;2.005,2.051;2.670,2.678,2.00B;permission of instructor",,,,"2.734",,,,Y,,,,,
"2.016","Hydrodynamics","2.001",,,,,,Y,,,,"A. Techet",,,
"2.017","Design of Electromechanical Robotic Systems","2.003","2.005,2.05,2.051,2.016;2.671","1.015[J]",,,,,,Y,,,,,"LAB2"
"2.019","Design of Ocean Systems","2.001;2.003;2.005,2.016",,,,,,,,Y,,,,,
"2.02A","Engineering Materials: Properties and Applications","2.001",,,,,"2017-2018",Y,,,,,,,
"2.04A","Systems and Controls","","2.003",,,,,,,Y,,,,,
"2.05","Thermodynamics","2.001",,,,,,Y,,,,"C. Buie",,,
"2.051","Introduction to Heat Transfer","2.05",,,,,,Y,,,,"A. Patera",,,
"2.06","Fluid Dynamics","2.001",,,,,,Y,,Y,,"A. Techet",,,
"2.086","Numerical Computation for Mechanical Engineers","Physics I GIR;Calculus II GIR","18.03,2.087",,,,,Y,,Y,,"D. Frey",,,"REST"
"2.087","Engineering Mathematics: Linear Algebra and ODEs","Calculus II GIR;Physics I GIR",,,,,,Y,,Y,,"T. Peacock",,,
"2.032","Dynamics","2.003",,,,,,Y,,,,"T. Akylas",,,
"2.033","Nonlinear Dynamics and Turbulence","1.060A",,"1.686[J],18.358[J]",,"1.068","2017-2018",,,Y,,,,,
"2.034","Nonlinear Dynamics and Waves","Permission of instructor",,"1.685[J],18.377[J]",,,"2018-2019",,,Y,,,,,
"2.036","Nonlinear Dynamics and Chaos","18.03,18.032",,"18.385[J]",,,"2017-2018",Y,,,,,,,
"2.050","Nonlinear Dynamics: Chaos","18.03,18.032;Physics II GIR",,"12.006[J],18.353[J]",,,,Y,,,,"H. Ronellenfitsch",,,
"2.060","Structural Dynamics","18.03,permission of instructor",,"1.581[J],16.221[J]",,"1.058",,Y,,,,"T. Cohen",,,
"2.062","Wave Propagation","2.003;18.075",,"1.138[J],18.376[J]",,,"2017-2018",,,Y,,,,,
"2.065","Acoustics and Sensing","2.003,6.003,8.03,16.003",,,,"2.066",,,,Y,,,,,
"2.066","Acoustics and Sensing",,,,,,,,,,,,,,
"2.071","Mechanics of Solid Materials","2.002,2.02A",,,,,,,,Y,,,,,
"2.072","Mechanics of Continuous Media","2.071",,,,,"2018-2019",Y,,,,"L. Anand",,,
"2.073","Solid Mechanics: Plasticity and Inelastic Deformation","2.071",,,,,"2017-2018",Y,,,,,,,
"2.074","Solid Mechanics: Elasticity","2.002;18.03",,,,,,Y,,,,"R. Abeyaratne",,,
"2.076","Mechanics of Heterogeneous Materials","2.002,3.032,16.20,permission of instructor",,"16.223[J]",,,"2017-2018",Y,,,,,,,
"2.080","Structural Mechanics","2.002",,"1.573[J]",,,,Y,,,,"H. Schmidt",,,
"2.081","Plates and Shells: Static and Dynamic Analysis","2.071,2.080,permission of instructor",,"16.230[J]",,,,,,Y,,,,,
"2.082","Ship Structural Analysis and Design","2.081;2.701",,,,,,,,Y,,,,,
"2.089","Computational Geometry","Permission of instructor",,"1.128[J]",,,,,,Y,,,,,
"2.091","Software and Computation for Simulation","1.00,permission of instructor",,"1.124[J]",,,,Y,,,,,,,
"2.092","Finite Element Analysis of Solids and Fluids I","2.001;2.003",,,,"2.093","2017-2018",Y,,,,,,,
"2.093","Finite Element Analysis of Solids and Fluids I",,,,,,,,,,,,,,
"2.096","Introduction to Numerical Simulation","18.03,18.06",,"6.336[J],16.910[J]",,,,Y,,,,"L. Daniel",,,
"2.097","Numerical Methods for Partial Differential Equations","18.03,18.06",,"6.339[J],16.920[J]",,,,Y,,,,"Q. Wang, S. Groth",,,
"2.098","Introduction to Finite Element Methods for Partial Differential Equations","2.086;18.06",,,,,,,,Y,,,,,
"2.099","Computational Mechanics of Materials","Permission of instructor",,"16.225[J]",,,"2017-2018",Y,,,,,,,
"2.110","Information, Entropy, and Computation","Physics I GIR",,"6.050[J]",,,"2017-2018",,,Y,,,,,
"2.111","Quantum Computation","Permission of instructor",,"8.370[J],18.435[J]",,,,Y,,,,"P. Shor",,,
"2.12","Introduction to Robotics","2.004,2.04A",,,,"2.120",,Y,,,,"H. Asada, K. Youcef-Toumi",,,
"2.120","Introduction to Robotics",,,,,,,,,,,,,,
"2.122","Stochastic Systems","2.004;2.087",,,,,,,,Y,,,,,
"2.131","Advanced Instrumentation and Measurement","Permission of Instructor",,,,,,,,Y,,,,,
"2.14","Analysis and Design of Feedback Control Systems","2.004",,,,"2.140",,,,Y,,,,,
"2.140","Analysis and Design of Feedback Control Systems",,,,,,,,,,,,,,
"2.141","Modeling and Simulation of Dynamic Systems","Permission of instructor",,,,,,Y,,,,"N. Hogan",,,
"2.151","Advanced System Dynamics and Control","2.004;18.06;2.087,2.04A",,,,,,Y,,,,"J. Slotine",,,
"2.152","Nonlinear Control","2.151,6.241,16.31,permission of instructor",,"9.110[J]",,,,,,Y,,,,,
"2.153","Adaptive Control","2.151",,,,,"2017-2018",,,Y,,,,,
"2.154","Maneuvering and Control of Surface and Underwater Vehicles","2.22",,,,,,Y,,,,"N. Patrikalakis",,,
"2.160","Identification, Estimation, and Learning","2.151",,,,,"2017-2018",,,Y,,,,,
"2.165","Robotics","2.151,permission of instructor",,"9.175[J]",,,"2017-2018",,,Y,,,,,
"2.166","Autonomous Vehicles","6.041B,permission of instructor",,,,,"2017-2018",,,Y,,,,,
"2.167","Hands-On Marine Robotics","",,,,,"2017-2018",Y,,,,,,,
"2.171","Analysis and Design of Digital Control Systems","2.14,2.151,permission of instructor",,,,,"2017-2018",Y,,,,,,,
"2.18","Biomolecular Feedback Systems","18.03,Biology GIR,permission of instructor",,"6.557[J]",,"2.180[J],6.027[J]",,,,Y,,,,,
"2.180","Biomolecular Feedback Systems","18.03,Biology GIR,permission of instructor",,"6.027[J]",,"2.18[J],6.557[J]",,,,Y,,,,,
"2.183","Biomechanics and Neural Control of Movement","2.004,permission of instructor",,"9.34[J]",,"2.184",,,,Y,,,,,
"2.184","Biomechanics and Neural Control of Movement",,,,,,,,Y,,Y,,,,
"2.20","Marine Hydrodynamics","1.060B,2.006,2.06,2.016",,,,,,Y,,,,"D. Yue",,,
"2.22","Design Principles for Ocean Vehicles","2.20",,,,,,,,Y,,,,,
"2.23","Hydrofoils and Propellers","2.20;18.085",,,,,"2017-2018",Y,,,,,,,
"2.24","Ocean Wave Interaction with Ships and Offshore Energy Systems","2.20;18.085",,"1.692[J]",,,"2017-2018",,,Y,,,,,
