Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"15.385","Sustainability-Oriented Innovation and Entrepreneurship","G","",,,,,,Y,,,,"J. Jay",,,
"15.386","Managing in Adversity","G","",,,,,,Y,,Y,,"Fall:  P. Kurzina\nSpring:  P. Kurzina",,,
"15.387","Entrepreneurial Sales","G","",,,,,,Y,,Y,,"Fall:  N. Shipley\nSpring:  N. Shipley",,,
"15.389","Global Entrepreneurship Lab","G","",,,,,,Y,Y,,,"Fall:  M. Jester",,,
"15.390","New Enterprises","G","",,,,"15.3901",,Y,,Y,,,,,
"15.3901","New Enterprises","U","",,,,"15.390",,Y,,Y,,"Fall:  W. Aulet\nSpring:  W. Aulet",,,
"15.392","Scaling Entrepreneurial Ventures","G","15.371,15.390",,,,,,,,Y,,"D. Levin",,,
"15.393","The Nuts and Bolts of New Ventures","G","",,,,,,,Y,,,"J. Hadzima",,,
"15.394","Dilemmas in Founding New Ventures","G","",,,"15.3941",,,,,Y,,"E. Scott",,,
"15.3941","Dilemmas in Founding New Ventures","U","",,,"15.394",,"2017-2018",,,Y,,,,,
"15.395","Entrepreneurship Without Borders","G","",,,,,,Y,,,,"S. Johnson",,,
"15.396","Seminar in Entrepreneurship","G","",,,,,"2017-2018",,,Y,,,,,
"15.397","Seminar in Entrepreneurship","G","",,,,,,Y,,,,"S. Johnson",,,
"15.398","Corporations at the Crossroads: The CEO Perspective","G","",,,,,,,,Y,,"P. Kurzina",,,
"15.399","Entrepreneurship Lab","G","",,,"15.3991",,,Y,,Y,,"Fall:  C. Catalini\nSpring:  C. Catalini",,,
"15.3991","Entrepreneurship Lab","U","",,,"15.399",,,Y,,Y,,"Fall:  C. Catalini\nSpring:  C. Catalini",,,
"15.401","Managerial Finance",,"",,,,,,,,,,"Fall:  D. Greenwald\nSpring:  D. Greenwald",,,
"15.402","Corporate Finance","G","15.401",,,"15.418",,,Y,,Y,,"Fall:  A. Malenko\nSpring:  A. Malenko",,,
"15.403","Introduction to the Practice of Finance","G","",,,,,,Y,,,,"J. Parsons",,,
"15.414","Financial Management","G","15.511",,,"15.724",,,,,,Y,,,,
"15.415","Finance Theory","G","",,,,,,,,,Y,,,,
"15.417","Laboratory in Investments","U","",,,,,,,,Y,,"P. Mende",,,"LAB"
"15.418","Laboratory in Corporate Finance","U","15.417",,,"15.402",,,Y,,Y,,"S. Myers",,,"LAB"
"15.425","Corporate Finance","G","15.415",,,,,,Y,,,,"K. Asquith",,,
"15.426","Real Estate Finance and Investment","G","Permission of instructor",,"11.431[J]",,,,Y,,,,"D. Geltner",,,
"15.427","Real Estate Capital Markets","G","11.431;15.402,15.414",,"11.432[J]",,,,,,Y,,"W. Torous",,,
"15.428","Tools for Analysis:  Design for Real Estate and Infrastructure Development","G","",,"11.434[J],IDS.720[J]",,,,,,Y,,"D. Geltner",,,
"15.429","Securitization of Mortgages and Other Assets","G","15.426,15.401,permission of instructor",,"11.353[J]",,,"2017-2018",,,Y,,,,,
"15.431","Entrepreneurial Finance and Venture Capital","G","15.402,15.414,15.415",,,"15.4311,15.719",,,Y,,,,"M. Rhodes-Kropf",,,
"15.4311","Entrepreneurial Finance and Venture Capital","U","15.418",,,"15.431,15.719",,,,,Y,,,,,
"15.433","Financial Markets","G","15.401,15.414,15.415",,,,"15.4331",,Y,,,,,,,
"15.4331","Financial Markets","U","15.411",,,,"15.433",,Y,,,,"J. Pan",,,
"15.434","Advanced Corporate Finance","G","15.402,15.414,15.415",,,"15.4341",,,Y,,,,,,,
"15.4341","Advanced Corporate Finance","U","15.418",,,"15.434",,,Y,,,,"E. Matveyev",,,
"15.436","Cases in Corporate Finance: Bridging Theory and Practice","G","15.402",,,,,,Y,,Y,,"Fall:  N. Gregory\nSpring:  N. Gregory",,,
"15.437","Options and Futures Markets","G","15.401,15.414,15.415",,,"15.4371",,,Y,,,,"S. Kogan",,,
"15.4371","Options and Futures Markets","U","15.417",,,"15.437",,,Y,,,,"S. Kogan",,,
"15.438","Fixed Income Securities and Derivatives","G","15.401,15.414,15.415",,,,,,,,Y,,,,,
"15.439","Investment Management","G","15.401,15.414,15.415",,,,,,,,Y,,"M. Rothman",,,
"15.444","International Corporate Finance","G","15.402,15.414,15.415",,,,,"2017-2018",,,Y,,,,,
