Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"7.02","Introduction to Experimental Biology and Communication","U","Biology GIR",,"10.702[J]",,,,Y,,Y,,"Fall:  T. Baker, M. Gehring, K.D. Wittrup\nSpring:  L. Boyer; O. Yilmaz, K.D. Wittrup",,,"LAB"
"7.03","Genetics","U","Biology GIR",,,,,,Y,,Y,,"Fall:  P. Gupta, P. Reddien\nSpring:  M. Hemann, A. Regev",,,"REST"
"7.05","General Biochemistry","U","5.12,Biology GIR,permission of instructor",,,"5.07,20.507",,,,,Y,,"M. Vander Heiden, M. Yaffe",,,"REST"
"7.06","Cell Biology","U","7.03;7.05",,,,,,Y,,Y,,"Fall:  A. Martin, F. Solomon\nSpring:  I. Cheeseman, T. Schwartz",,,
"7.08","Biological Chemistry II","U","5.12;5.07,7.05",,"5.08[J]",,"7.80",,,,Y,,"E. Nolan, R. Raines",,,
"7.09","Quantitative and Computational Biology","U","7.03;7.05",,,,,,,,Y,,"C. Burge, G. W. Li",,,
"7.102","Laboratory in Molecular Biology","U","",,,,,,,Y,,,"D. Kim",,,"LAB2"
"7.11","Biology Teaching","U","",,,,,,Y,,Y,,,,,
"7.18","Topics in Experimental Biology","U","7.02;7.06;an approved research experience;permission of instructor",,,,"7.19",,Y,,Y,,"Fall:  J. Chen, A.J. Sinskey",,,
"7.19","Communication in Experimental Biology","U","7.02;7.06;permission of instructor",,,,"7.18",,Y,,Y,,"Fall:  J. Chen, A.J. Sinskey",,,
"7.20","Human Physiology","U","7.05",,"HST.540[J]",,,,Y,,,,"M. Krieger, D. Sabatini",,,
"7.21","Microbial Physiology","U","7.03;7.05",,,,"7.62",,Y,,,,"G. C. Walker, A. J. Sinskey",,,
"7.22","Developmental Biology","U","7.06",,,,,"2017-2018",Y,,,,"R. O. Hynes, P. Reddien",,,
"7.23","Immunology","U","7.06",,,,"7.63","2017-2018",Y,,,,,,,
"7.26","Molecular Basis of Infectious Disease","U","7.06",,,,"7.66",,,,Y,,"D. Kim",,,
"7.27","Principles of Human Disease","U","7.06",,,,,,,,Y,,"D. Housman, L. Guarente",,,
"7.28","Molecular Biology","U","7.03","7.05",,,"7.58",,,,Y,,"U. RajBhandary, E. Calo",,,
